"tr_n";"k";"p";"o";"s";"tr_type";"tr_cap"
"39/40";5;12;0;1;"rapid";846
"28/27з";8;10;0;0;"rapid";828
"28/27л";10;7;0;1;"rapid";756
"17/18";2;15;0;0;"rapid";882
"15/16";6;9;0;2;"rapid";738
"5/6";5;11;0;1;"rapid";792
"7/8л";8;9;0;0;"rapid";774
"7/7";10;7;0;1;"rapid";756
"11/12";7;5;0;2;"rapid";558
"15/15";7;7;0;1;"rapid";648
"18/17л";5;11;0;1;"rapid";792
"18/17з";6;12;0;1;"rapid";882
"17/17";11;7;0;2;"rapid";810
"24/23";11;5;0;1;"rapid";684
"27/27л";9;7;0;1;"rapid";720
"27/27з";7;10;0;2;"rapid";828
"33/34";9;6;0;1;"rapid";666
"47/47";8;8;2;0;"rapid";882
"49/49";9;10;0;0;"rapid";864
"53/54";6;11;0;0;"rapid";810
"55/55";5;9;0;1;"rapid";684
"61/62";14;6;0;1;"rapid";846
"68/67";6;10;0;0;"rapid";756
"69/70";13;2;0;0;"rapid";576
"70/69";5;11;0;1;"rapid";792
"74/73";5;11;0;1;"rapid";792
"74/73";9;11;0;1;"rapid";936
"75/76л";5;12;0;1;"rapid";846
"75/76з";9;8;0;1;"rapid";774
"78/77";4;10;0;1;"rapid";702
"77/77";11;5;0;1;"rapid";684
"79/79";7;7;0;1;"rapid";648
"81/82";6;11;0;1;"rapid";828
"83/83";10;7;0;0;"rapid";738
"85/86";9;7;0;1;"rapid";720
"87/88л";10;10;0;1;"rapid";918
"87/88з";11;7;0;1;"rapid";792
"92/91";6;8;0;1;"rapid";666
"93/93";9;8;0;1;"rapid";774
"98/97л";7;7;0;1;"rapid";648
"98/97з";8;11;0;1;"rapid";900
"104/104л";15;0;0;2;"rapid";576
"104/104з";11;4;0;2;"rapid";648
"107/108";5;11;0;0;"rapid";774
"109/109";7;9;0;0;"rapid";738
"111/111";7;10;0;0;"rapid";792
"116/115л";12;8;0;1;"rapid";882
"116/115з";11;8;0;1;"rapid";846
"121/121л";7;7;0;0;"rapid";630
"121/121з";7;7;0;0;"rapid";630
"126/125";6;6;3;0;"rapid";783
"126/126";9;7;0;0;"rapid";702
"135/135";7;5;0;1;"rapid";540
"137/137";6;5;4;0;"rapid";810
"144/143";5;15;0;0;"rapid";990
"143/144";9;6;0;1;"rapid";666
"181/182";11;5;0;0;"rapid";666
"183/184";8;9;0;1;"rapid";792
"185/186";11;6;0;1;"rapid";738
"187/188";10;5;0;1;"rapid";648
"189/190";7;12;0;0;"rapid";900
"192/192";11;6;0;0;"rapid";720
"193/194";12;5;0;0;"rapid";702
"195/196";11;5;0;0;"rapid";666
"197/198";9;5;0;0;"rapid";594
"197/197л";8;7;0;0;"rapid";666
"197/197з";7;8;0;0;"rapid";684
"199/200";11;5;0;0;"rapid";666
"201/202";9;8;0;1;"rapid";774
"202/202";1;14;0;0;"rapid";792
"204/203";6;10;0;0;"rapid";756
"209/210";8;8;0;0;"rapid";720
"212/211";6;10;0;1;"rapid";774
"216/215";11;5;0;0;"rapid";666
"219/220";12;4;0;1;"rapid";666
"221/222";12;5;0;0;"rapid";702
"226/225";9;9;0;0;"rapid";810
"227/228";7;8;0;1;"rapid";702
"229/230";9;5;0;0;"rapid";594
"231/232";7;8;0;1;"rapid";702
"233/234";12;5;0;1;"rapid";720
"233/233";11;9;0;1;"rapid";900
"235/236";7;9;0;0;"rapid";738
"237/237";9;9;0;0;"rapid";810
"237/237";12;5;0;0;"rapid";702
"239/240";9;10;0;0;"rapid";864
"239/239";6;7;3;1;"rapid";855
"08/07";13;6;0;1;"rapid";810
"43/44л";9;8;0;0;"rapid";756
"43/44з";7;9;0;0;"rapid";738
"239/240";11;7;0;0;"rapid";774
"78/77л";7;11;0;0;"rapid";846
"78/77з";10;8;0;0;"rapid";792
"114/113л";9;8;0;1;"rapid";774
"114/113з";6;6;0;1;"rapid";558
"201/201л";8;9;0;1;"rapid";792
"235/235л";10;6;0;0;"rapid";684
"325/325л";9;11;2;0;"pass";1080
"325/325з";10;8;2;0;"pass";954
"351/351л";8;11;3;0;"pass";1125
"351/351з";8;11;3;0;"pass";1125
"385/385л";10;8;1;0;"pass";873
"385/385з";9;9;1;0;"pass";891
"663/663л";8;5;2;1;"pass";738
"663/663з";4;7;2;1;"pass";702
"8/7";13;6;0;1;"rapid";810
"20/19";11;0;0;2;"rapid";432
"43/44л";9;8;0;0;"rapid";756
"43/44з";7;9;0;0;"rapid";738
"239/240";11;7;0;0;"rapid";774
"77/78л";7;11;0;0;"rapid";846
"77/78з";10;8;0;0;"rapid";792
"269/270л";10;8;0;0;"rapid";792
"325/325л";9;11;0;0;"pass";918
"325/325з";10;8;2;0;"pass";954
"339/340л";8;12;0;1;"pass";954
"339/340з";8;12;0;1;"pass";954
"349/350л";9;11;0;0;"pass";918
"349/350з";9;11;0;0;"pass";918
"385/385л";10;8;1;0;"pass";873
"385/385з";9;9;1;0;"pass";891
"602/601";7;9;2;0;"pass";900
"8/7";13;6;0;1;"rapid";810
